lap_number,driver_number,grand_prix,flag_upper,sc_deploy,sc_end,vsc_deploy,vsc_end,is_yellow,is_double_yellow,is_red,lap_clean
1,,Austin,DOUBLE YELLOW,False,False,False,False,True,True,False,False
1,,Austin,YELLOW,False,False,False,False,True,False,False,False
56,,Austin,DOUBLE YELLOW,False,False,False,False,True,True,False,False
1,,Baku,YELLOW,False,False,False,False,True,False,False,False
1,,Baku,DOUBLE YELLOW,False,False,False,False,True,True,False,False
1,,Baku,DOUBLE YELLOW,False,False,False,False,True,True,False,False
1,,Baku,YELLOW,False,False,False,False,True,False,False,False
1,,Baku,DOUBLE YELLOW,False,False,False,False,True,True,False,False
10,,Baku,YELLOW,False,False,False,False,True,False,False,False
10,,Baku,YELLOW,False,False,False,False,True,False,False,False
10,,Baku,DOUBLE YELLOW,False,False,False,False,True,True,False,False
10,,Baku,YELLOW,False,False,False,False,True,False,False,False
17,,Baku,YELLOW,False,False,False,False,True,False,False,False
49,,Baku,YELLOW,False,False,False,False,True,False,False,False
51,,Baku,DOUBLE YELLOW,False,False,False,False,True,True,False,False
1,,Hungaroring,YELLOW,False,False,False,False,True,False,False,False
69,,Hungaroring,DOUBLE YELLOW,False,False,False,False,True,True,False,False
70,,Hungaroring,DOUBLE YELLOW,False,False,False,False,True,True,False,False
1,,Interlagos,DOUBLE YELLOW,False,False,False,False,True,True,False,False
1,,Interlagos,YELLOW,False,False,False,False,True,False,False,False
1,,Interlagos,YELLOW,False,False,False,False,True,False,False,False
1,,Interlagos,DOUBLE YELLOW,False,False,False,False,True,True,False,False
2,,Interlagos,RED,False,False,False,False,False,False,True,False
17,,Jeddah,YELLOW,False,False,False,False,True,False,False,False
17,,Jeddah,DOUBLE YELLOW,False,False,False,False,True,True,False,False
18,,Jeddah,YELLOW,False,False,False,False,True,False,False,False
18,,Jeddah,DOUBLE YELLOW,False,False,False,False,True,True,False,False
18,,Jeddah,YELLOW,False,False,False,False,True,False,False,False
1,,Las Vegas,YELLOW,False,False,False,False,True,False,False,False
1,,Las Vegas,YELLOW,False,False,False,False,True,False,False,False
3,,Las Vegas,DOUBLE YELLOW,False,False,False,False,True,True,False,False
14,,Las Vegas,YELLOW,False,False,False,False,True,False,False,False
20,,Las Vegas,YELLOW,False,False,False,False,True,False,False,False
27,,Las Vegas,DOUBLE YELLOW,False,False,False,False,True,True,False,False
40,,Las Vegas,YELLOW,False,False,False,False,True,False,False,False
47,,Las Vegas,YELLOW,False,False,False,False,True,False,False,False
48,,Las Vegas,YELLOW,False,False,False,False,True,False,False,False
50,,Las Vegas,YELLOW,False,False,False,False,True,False,False,False
50,,Las Vegas,YELLOW,False,False,False,False,True,False,False,False
1,,Lusail,YELLOW,False,False,False,False,True,False,False,False
33,,Lusail,YELLOW,False,False,False,False,True,False,False,False
41,,Lusail,YELLOW,False,False,False,False,True,False,False,False
1,,Melbourne,YELLOW,False,False,False,False,True,False,False,False
1,,Melbourne,DOUBLE YELLOW,False,False,False,False,True,True,False,False
1,,Melbourne,YELLOW,False,False,False,False,True,False,False,False
1,,Melbourne,DOUBLE YELLOW,False,False,False,False,True,True,False,False
1,,Melbourne,YELLOW,False,False,False,False,True,False,False,False
1,,Melbourne,YELLOW,False,False,False,False,True,False,False,False
1,,Melbourne,DOUBLE YELLOW,False,False,False,False,True,True,False,False
7,,Melbourne,YELLOW,False,False,False,False,True,False,False,False
8,,Melbourne,RED,False,False,False,False,False,False,True,False
53,,Melbourne,YELLOW,False,False,False,False,True,False,False,False
55,,Melbourne,RED,False,False,False,False,False,False,True,False
57,,Melbourne,YELLOW,False,False,False,False,True,False,False,False
57,,Melbourne,YELLOW,False,False,False,False,True,False,False,False
57,,Melbourne,RED,False,False,False,False,False,False,True,False
58,,Melbourne,RED,False,False,False,False,False,False,True,False
58,,Melbourne,DOUBLE YELLOW,False,False,False,False,True,True,False,False
1,,Mexico City,YELLOW,False,False,False,False,True,False,False,False
1,,Mexico City,DOUBLE YELLOW,False,False,False,False,True,True,False,False
1,,Mexico City,DOUBLE YELLOW,False,False,False,False,True,True,False,False
1,,Mexico City,YELLOW,False,False,False,False,True,False,False,False
1,,Mexico City,DOUBLE YELLOW,False,False,False,False,True,True,False,False
1,,Mexico City,DOUBLE YELLOW,False,False,False,False,True,True,False,False
1,,Mexico City,YELLOW,False,False,False,False,True,False,False,False
1,,Mexico City,YELLOW,False,False,False,False,True,False,False,False
1,,Mexico City,DOUBLE YELLOW,False,False,False,False,True,True,False,False
1,,Mexico City,YELLOW,False,False,False,False,True,False,False,False
8,,Mexico City,YELLOW,False,False,False,False,True,False,False,False
33,,Mexico City,DOUBLE YELLOW,False,False,False,False,True,True,False,False
33,,Mexico City,YELLOW,False,False,False,False,True,False,False,False
34,,Mexico City,RED,False,False,False,False,False,False,True,False
49,,Mexico City,DOUBLE YELLOW,False,False,False,False,True,True,False,False
49,,Mexico City,YELLOW,False,False,False,False,True,False,False,False
