meeting_key,session_key,date,driver_number,lap_number,category,flag,scope,sector,message,grand_prix,race_session_key
1229,9472,2024-03-02T14:06:41+00:00,,1.0,Other,,,,PINK HEAD PADDING MATERIAL MUST BE USED,Sakhir,9472
1229,9472,2024-03-02T14:20:01+00:00,,1.0,Flag,GREEN,Track,,GREEN LIGHT - PIT EXIT OPEN,Sakhir,9472
1229,9472,2024-03-02T14:30:01+00:00,,1.0,Other,,,,PIT EXIT CLOSED,Sakhir,9472
1229,9472,2024-03-02T14:45:29+00:00,,1.0,Other,,,,RISK OF RAIN FOR F1 RACE IS 0%,Sakhir,9472
1229,9472,2024-03-02T14:57:04+00:00,,1.0,Drs,,,,DRS DISABLED,Sakhir,9472
1229,9472,2024-03-02T15:03:42+00:00,,1.0,Flag,GREEN,Track,,GREEN LIGHT - PIT EXIT OPEN,Sakhir,9472
1229,9472,2024-03-02T15:03:59+00:00,,1.0,Flag,DOUBLE YELLOW,Sector,2.0,DOUBLE YELLOW IN TRACK SECTOR 2,Sakhir,9472
1229,9472,2024-03-02T15:04:03+00:00,,1.0,Flag,CLEAR,Sector,2.0,CLEAR IN TRACK SECTOR 2,Sakhir,9472
1229,9472,2024-03-02T15:04:29+00:00,,1.0,Flag,DOUBLE YELLOW,Sector,2.0,DOUBLE YELLOW IN TRACK SECTOR 2,Sakhir,9472
1229,9472,2024-03-02T15:04:36+00:00,,1.0,Flag,CLEAR,Sector,2.0,CLEAR IN TRACK SECTOR 2,Sakhir,9472
1229,9472,2024-03-02T15:05:23+00:00,,2.0,Drs,,,,DRS ENABLED,Sakhir,9472
1229,9472,2024-03-02T15:05:38+00:00,18.0,2.0,CarEvent,,,,CAR 18 (STR) SPUN AND CONTINUED AT TURN 1,Sakhir,9472
1229,9472,2024-03-02T15:05:44+00:00,,2.0,Other,,,,TRACK SURFACE SLIPPERY IN TRACK SECTOR 4,Sakhir,9472
1229,9472,2024-03-02T15:05:55+00:00,,2.0,Flag,CLEAR,Sector,4.0,CLEAR IN TRACK SECTOR 4,Sakhir,9472
1229,9472,2024-03-02T15:06:43+00:00,,2.0,Other,,,,TURN 1 INCIDENT INVOLVING CARS 18 (STR) AND 27 (HUL) NOTED - CAUSING A COLLISION,Sakhir,9472
1229,9472,2024-03-02T15:08:42+00:00,,4.0,Other,,,,FIA STEWARDS: TURN 1 INCIDENT INVOLVING CARS 18 (STR) AND 27 (HUL) REVIEWED NO FURTHER INVESTIGATION - CAUSING A COLLISION,Sakhir,9472
1229,9472,2024-03-02T15:11:18+00:00,,5.0,Other,,,,CAR 4 (NOR) TIME 1:37.787 DELETED - TRACK LIMITS AT TURN 15 LAP 3 18:08:35,Sakhir,9472
1229,9472,2024-03-02T15:11:19+00:00,,5.0,Other,,,,CAR 4 (NOR) TIME 1:37.450 DELETED - TRACK LIMITS AT TURN 15 (NEXT LAP),Sakhir,9472
1229,9472,2024-03-02T15:13:05+00:00,,6.0,Other,,,,CAR 16 (LEC) TIME 1:37.752 DELETED - TRACK LIMITS AT TURN 10 LAP 4 18:09:29,Sakhir,9472
1229,9472,2024-03-02T15:19:07+00:00,,10.0,Flag,YELLOW,Sector,4.0,YELLOW IN TRACK SECTOR 4,Sakhir,9472
1229,9472,2024-03-02T15:19:08+00:00,,10.0,Other,,,,DRS DISABLED IN ZONE 1,Sakhir,9472
1229,9472,2024-03-02T15:19:58+00:00,,11.0,Flag,CLEAR,Sector,4.0,CLEAR IN TRACK SECTOR 4,Sakhir,9472
1229,9472,2024-03-02T15:19:58+00:00,,11.0,Other,,,,DRS ENABLED IN ZONE 1,Sakhir,9472
1229,9472,2024-03-02T15:20:00+00:00,2.0,11.0,CarEvent,,,,CAR 2 (SAR) OFF TRACK AND CONTINUED AT TURN 4,Sakhir,9472
1229,9472,2024-03-02T15:22:00+00:00,2.0,12.0,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 2 (SAR) TIMED AT 18:21:59,Sakhir,9472
1229,9472,2024-03-02T15:25:12+00:00,,14.0,Other,,,,CAR 22 (TSU) TIME 1:38.912 DELETED - TRACK LIMITS AT TURN 4 LAP 10 18:19:02,Sakhir,9472
1229,9472,2024-03-02T15:26:23+00:00,2.0,15.0,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 2 (SAR) TIMED AT 18:26:22,Sakhir,9472
1229,9472,2024-03-02T15:27:01+00:00,2.0,15.0,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 2 (SAR) TIMED AT 18:27:01,Sakhir,9472
1229,9472,2024-03-02T15:30:07+00:00,2.0,17.0,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 2 (SAR) TIMED AT 18:30:07,Sakhir,9472
1229,9472,2024-03-02T15:30:29+00:00,2.0,17.0,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 2 (SAR) TIMED AT 18:30:28,Sakhir,9472
1229,9472,2024-03-02T15:33:06+00:00,2.0,18.0,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 2 (SAR) TIMED AT 18:33:06,Sakhir,9472
1229,9472,2024-03-02T15:44:23+00:00,2.0,26.0,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 2 (SAR) TIMED AT 18:44:22,Sakhir,9472
1229,9472,2024-03-02T15:50:26+00:00,,29.0,Other,,,,CAR 22 (TSU) TIME 1:38.083 DELETED - TRACK LIMITS AT TURN 13 LAP 27 18:48:03,Sakhir,9472
1229,9472,2024-03-02T15:50:40+00:00,,29.0,Other,,,,CAR 44 (HAM) TIME 1:37.201 DELETED - TRACK LIMITS AT TURN 10 LAP 27 18:47:21,Sakhir,9472
1229,9472,2024-03-02T15:52:26+00:00,2.0,31.0,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 2 (SAR) TIMED AT 18:52:25,Sakhir,9472
1229,9472,2024-03-02T15:52:57+00:00,2.0,31.0,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 2 (SAR) TIMED AT 18:52:56,Sakhir,9472
1229,9472,2024-03-02T15:58:08+00:00,77.0,34.0,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 18:58:08,Sakhir,9472
1229,9472,2024-03-02T15:59:32+00:00,77.0,35.0,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 18:59:32,Sakhir,9472
1229,9472,2024-03-02T16:03:28+00:00,77.0,37.0,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 19:03:27,Sakhir,9472
1229,9472,2024-03-02T16:05:43+00:00,77.0,39.0,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 19:05:43,Sakhir,9472
1229,9472,2024-03-02T16:06:10+00:00,,39.0,Other,,,,CAR 81 (PIA) TIME 1:34.774 DELETED - TRACK LIMITS AT TURN 15 LAP 37 19:04:27,Sakhir,9472
1229,9472,2024-03-02T16:06:11+00:00,,39.0,Other,,,,CAR 81 (PIA) TIME 1:35.298 DELETED - TRACK LIMITS AT TURN 15 (NEXT LAP),Sakhir,9472
1229,9472,2024-03-02T16:11:56+00:00,2.0,43.0,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 2 (SAR) TIMED AT 19:11:55,Sakhir,9472
1229,9472,2024-03-02T16:14:50+00:00,10.0,44.0,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 10 (GAS) TIMED AT 19:14:49,Sakhir,9472
1229,9472,2024-03-02T16:17:03+00:00,,46.0,Other,,,,CAR 10 (GAS) TIME 1:56.481 DELETED - TRACK LIMITS AT TURN 4 LAP 44 19:15:47,Sakhir,9472
1229,9472,2024-03-02T16:17:07+00:00,31.0,46.0,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 31 (OCO) TIMED AT 19:17:07,Sakhir,9472
1229,9472,2024-03-02T16:18:39+00:00,,47.0,Other,,,,CAR 63 (RUS) TIME 1:36.657 DELETED - TRACK LIMITS AT TURN 10 LAP 46 19:17:53,Sakhir,9472
1229,9472,2024-03-02T16:19:06+00:00,,47.0,Other,,,,CAR 1 (VER) TIME 1:34.193 DELETED - TRACK LIMITS AT TURN 4 LAP 46 19:16:58,Sakhir,9472
1229,9472,2024-03-02T16:20:49+00:00,,48.0,Other,,,,CAR 44 (HAM) TIME 1:35.226 DELETED - TRACK LIMITS AT TURN 4 LAP 47 19:19:13,Sakhir,9472
1229,9472,2024-03-02T16:21:42+00:00,,49.0,Other,,,,CAR 23 (ALB) TIME 1:36.026 DELETED - TRACK LIMITS AT TURN 4 LAP 47 19:20:01,Sakhir,9472
1229,9472,2024-03-02T16:23:03+00:00,2.0,50.0,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 2 (SAR) TIMED AT 19:23:03,Sakhir,9472
1229,9472,2024-03-02T16:23:49+00:00,23.0,50.0,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 23 (ALB) TIMED AT 19:23:48,Sakhir,9472
1229,9472,2024-03-02T16:24:32+00:00,,51.0,Other,,,,CAR 23 (ALB) TIME 1:37.102 DELETED - TRACK LIMITS AT TURN 10 LAP 49 19:23:50,Sakhir,9472
1229,9472,2024-03-02T16:25:15+00:00,,51.0,Other,,,,CAR 81 (PIA) TIME 1:35.984 DELETED - TRACK LIMITS AT TURN 4 LAP 50 19:24:04,Sakhir,9472
1229,9472,2024-03-02T16:28:06+00:00,22.0,53.0,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 22 (TSU) TIMED AT 19:28:05,Sakhir,9472
1229,9472,2024-03-02T16:28:24+00:00,3.0,53.0,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 3 (RIC) TIMED AT 19:28:24,Sakhir,9472
1229,9472,2024-03-02T16:28:42+00:00,,53.0,Other,,,,CAR 3 (RIC) TIME 1:37.103 DELETED - TRACK LIMITS AT TURN 13 LAP 51 19:27:11,Sakhir,9472
