lap_number,driver_number,grand_prix,flag_upper,sc_deploy,sc_end,vsc_deploy,vsc_end,is_yellow,is_double_yellow,is_red,is_blue,lap_clean
54,5.0,Austin,BLUE,False,False,False,False,False,False,False,True,False
55,10.0,Austin,BLUE,False,False,False,False,False,False,False,True,False
55,43.0,Austin,BLUE,False,False,False,False,False,False,False,True,False
55,43.0,Austin,BLUE,False,False,False,False,False,False,False,True,False
55,43.0,Austin,BLUE,False,False,False,False,False,False,False,True,False
1,,Austin,DOUBLE YELLOW,False,False,False,False,True,True,False,False,False
6,,Austin,YELLOW,False,False,False,False,True,False,False,False,False
7,,Austin,YELLOW,False,False,False,False,True,False,False,False,False
7,,Austin,DOUBLE YELLOW,False,False,False,False,True,True,False,False,False
8,,Austin,DOUBLE YELLOW,False,False,False,False,True,True,False,False,False
8,,Austin,DOUBLE YELLOW,False,False,False,False,True,True,False,False,False
35,,Austin,YELLOW,False,False,False,False,True,False,False,False,False
35,,Austin,DOUBLE YELLOW,False,False,False,False,True,True,False,False,False
49,10.0,Baku,BLUE,False,False,False,False,False,False,False,True,False
49,43.0,Baku,BLUE,False,False,False,False,False,False,False,True,False
1,,Baku,DOUBLE YELLOW,False,False,False,False,True,True,False,False,False
1,,Baku,DOUBLE YELLOW,False,False,False,False,True,True,False,False,False
1,,Baku,YELLOW,False,False,False,False,True,False,False,False,False
1,,Baku,DOUBLE YELLOW,False,False,False,False,True,True,False,False,False
1,,Baku,DOUBLE YELLOW,False,False,False,False,True,True,False,False,False
1,,Baku,DOUBLE YELLOW,False,False,False,False,True,True,False,False,False
1,,Baku,DOUBLE YELLOW,False,False,False,False,True,True,False,False,False
1,,Baku,DOUBLE YELLOW,False,False,False,False,True,True,False,False,False
1,,Baku,YELLOW,False,False,False,False,True,False,False,False,False
1,,Baku,DOUBLE YELLOW,False,False,False,False,True,True,False,False,False
1,,Baku,YELLOW,False,False,False,False,True,False,False,False,False
1,,Baku,DOUBLE YELLOW,False,False,False,False,True,True,False,False,False
7,,Baku,DOUBLE YELLOW,False,False,False,False,True,True,False,False,False
17,,Baku,YELLOW,False,False,False,False,True,False,False,False,False
17,,Baku,DOUBLE YELLOW,False,False,False,False,True,True,False,False,False
19,,Baku,DOUBLE YELLOW,False,False,False,False,True,True,False,False,False
51,,Baku,DOUBLE YELLOW,False,False,False,False,True,True,False,False,False
51,,Baku,DOUBLE YELLOW,False,False,False,False,True,True,False,False,False
44,5.0,Catalunya,BLUE,False,False,False,False,False,False,False,True,False
44,5.0,Catalunya,BLUE,False,False,False,False,False,False,False,True,False
46,5.0,Catalunya,BLUE,False,False,False,False,False,False,False,True,False
47,5.0,Catalunya,BLUE,False,False,False,False,False,False,False,True,False
55,5.0,Catalunya,BLUE,False,False,False,False,False,False,False,True,False
37,10.0,Catalunya,BLUE,False,False,False,False,False,False,False,True,False
37,10.0,Catalunya,BLUE,False,False,False,False,False,False,False,True,False
38,10.0,Catalunya,BLUE,False,False,False,False,False,False,False,True,False
41,10.0,Catalunya,BLUE,False,False,False,False,False,False,False,True,False
52,10.0,Catalunya,BLUE,False,False,False,False,False,False,False,True,False
52,10.0,Catalunya,BLUE,False,False,False,False,False,False,False,True,False
52,10.0,Catalunya,BLUE,False,False,False,False,False,False,False,True,False
53,10.0,Catalunya,BLUE,False,False,False,False,False,False,False,True,False
50,14.0,Catalunya,BLUE,False,False,False,False,False,False,False,True,False
51,14.0,Catalunya,BLUE,False,False,False,False,False,False,False,True,False
51,14.0,Catalunya,BLUE,False,False,False,False,False,False,False,True,False
42,22.0,Catalunya,BLUE,False,False,False,False,False,False,False,True,False
43,22.0,Catalunya,BLUE,False,False,False,False,False,False,False,True,False
45,22.0,Catalunya,BLUE,False,False,False,False,False,False,False,True,False
45,22.0,Catalunya,BLUE,False,False,False,False,False,False,False,True,False
48,22.0,Catalunya,BLUE,False,False,False,False,False,False,False,True,False
54,27.0,Catalunya,BLUE,False,False,False,False,False,False,False,True,False
55,27.0,Catalunya,BLUE,False,False,False,False,False,False,False,True,False
51,30.0,Catalunya,BLUE,False,False,False,False,False,False,False,True,False
51,30.0,Catalunya,BLUE,False,False,False,False,False,False,False,True,False
51,30.0,Catalunya,BLUE,False,False,False,False,False,False,False,True,False
52,30.0,Catalunya,BLUE,False,False,False,False,False,False,False,True,False
40,31.0,Catalunya,BLUE,False,False,False,False,False,False,False,True,False
41,31.0,Catalunya,BLUE,False,False,False,False,False,False,False,True,False
41,31.0,Catalunya,BLUE,False,False,False,False,False,False,False,True,False
43,31.0,Catalunya,BLUE,False,False,False,False,False,False,False,True,False
33,43.0,Catalunya,BLUE,False,False,False,False,False,False,False,True,False
33,43.0,Catalunya,BLUE,False,False,False,False,False,False,False,True,False
35,43.0,Catalunya,BLUE,False,False,False,False,False,False,False,True,False
36,43.0,Catalunya,BLUE,False,False,False,False,False,False,False,True,False
37,43.0,Catalunya,BLUE,False,False,False,False,False,False,False,True,False
43,43.0,Catalunya,BLUE,False,False,False,False,False,False,False,True,False
43,43.0,Catalunya,BLUE,False,False,False,False,False,False,False,True,False
49,43.0,Catalunya,BLUE,False,False,False,False,False,False,False,True,False
50,55.0,Catalunya,BLUE,False,False,False,False,False,False,False,True,False
38,87.0,Catalunya,BLUE,False,False,False,False,False,False,False,True,False
51,87.0,Catalunya,BLUE,False,False,False,False,False,False,False,True,False
51,87.0,Catalunya,BLUE,False,False,False,False,False,False,False,True,False
52,87.0,Catalunya,BLUE,False,False,False,False,False,False,False,True,False
52,87.0,Catalunya,BLUE,False,False,False,False,False,False,False,True,False
55,,Catalunya,DOUBLE YELLOW,False,False,False,False,True,True,False,False,False
55,,Catalunya,YELLOW,False,False,False,False,True,False,False,False,False
56,,Catalunya,DOUBLE YELLOW,False,False,False,False,True,True,False,False,False
65,6.0,Hungaroring,BLUE,False,False,False,False,False,False,False,True,False
66,6.0,Hungaroring,BLUE,False,False,False,False,False,False,False,True,False
52,10.0,Hungaroring,BLUE,False,False,False,False,False,False,False,True,False
54,10.0,Hungaroring,BLUE,False,False,False,False,False,False,False,True,False
60,10.0,Hungaroring,BLUE,False,False,False,False,False,False,False,True,False
60,10.0,Hungaroring,BLUE,False,False,False,False,False,False,False,True,False
60,10.0,Hungaroring,BLUE,False,False,False,False,False,False,False,True,False
66,12.0,Hungaroring,BLUE,False,False,False,False,False,False,False,True,False
46,22.0,Hungaroring,BLUE,False,False,False,False,False,False,False,True,False
50,22.0,Hungaroring,BLUE,False,False,False,False,False,False,False,True,False
53,22.0,Hungaroring,BLUE,False,False,False,False,False,False,False,True,False
53,22.0,Hungaroring,BLUE,False,False,False,False,False,False,False,True,False
48,23.0,Hungaroring,BLUE,False,False,False,False,False,False,False,True,False
48,23.0,Hungaroring,BLUE,False,False,False,False,False,False,False,True,False
53,23.0,Hungaroring,BLUE,False,False,False,False,False,False,False,True,False
58,23.0,Hungaroring,BLUE,False,False,False,False,False,False,False,True,False
59,23.0,Hungaroring,BLUE,False,False,False,False,False,False,False,True,False
59,23.0,Hungaroring,BLUE,False,False,False,False,False,False,False,True,False
43,27.0,Hungaroring,BLUE,False,False,False,False,False,False,False,True,False
51,27.0,Hungaroring,BLUE,False,False,False,False,False,False,False,True,False
57,27.0,Hungaroring,BLUE,False,False,False,False,False,False,False,True,False
58,27.0,Hungaroring,BLUE,False,False,False,False,False,False,False,True,False
68,27.0,Hungaroring,BLUE,False,False,False,False,False,False,False,True,False
68,27.0,Hungaroring,BLUE,False,False,False,False,False,False,False,True,False
52,31.0,Hungaroring,BLUE,False,False,False,False,False,False,False,True,False
55,31.0,Hungaroring,BLUE,False,False,False,False,False,False,False,True,False
62,31.0,Hungaroring,BLUE,False,False,False,False,False,False,False,True,False
63,31.0,Hungaroring,BLUE,False,False,False,False,False,False,False,True,False
63,31.0,Hungaroring,BLUE,False,False,False,False,False,False,False,True,False
