circuitRef,year,round,name,countryId,length_km,turns,type,num_drs_zones
bahrain,2023,1,Bahrain,bahrain,5.412,15,RACE,3
jeddah,2023,2,Jeddah,saudi-arabia,6.174,27,STREET,3
melbourne,2023,3,Melbourne,australia,5.278,14,STREET,4
baku,2023,4,Baku,azerbaijan,6.003,20,STREET,2
miami,2023,5,Miami,united-states-of-america,5.412,19,STREET,3
monaco,2023,6,Monaco,monaco,3.337,19,STREET,1
catalunya,2023,7,Catalunya,spain,4.657,14,RACE,2
montreal,2023,8,Gilles Villeneuve,canada,4.361,13,STREET,3
spielberg,2023,9,Red Bull Ring,austria,4.326,10,RACE,3
silverstone,2023,10,Silverstone,united-kingdom,5.891,18,RACE,2
hungaroring,2023,11,Hungaroring,hungary,4.381,14,RACE,2
spa-francorchamps,2023,12,Spa-Francorchamps,belgium,7.004,19,RACE,2
zandvoort,2023,13,Zandvoort,netherlands,4.259,14,RACE,2
monza,2023,14,Monza,italy,5.793,11,RACE,2
marina-bay,2023,15,Marina Bay,singapore,4.94,19,STREET,4
suzuka,2023,16,Suzuka,japan,5.807,18,RACE,1
lusail,2023,17,Lusail,qatar,5.419,16,RACE,1
austin,2023,18,Americas,united-states-of-america,5.513,20,RACE,2
mexico-city,2023,19,Hermanos Rodríguez,mexico,4.304,17,RACE,3
interlagos,2023,20,José Carlos Pace,brazil,4.309,15,RACE,2
las-vegas,2023,21,Las Vegas,united-states-of-america,6.201,17,STREET,2
yas-marina,2023,22,Yas Marina,united-arab-emirates,5.281,16,RACE,2
bahrain,2024,1,Bahrain,bahrain,5.412,15,RACE,3
jeddah,2024,2,Jeddah,saudi-arabia,6.174,27,STREET,3
melbourne,2024,3,Melbourne,australia,5.278,14,STREET,4
suzuka,2024,4,Suzuka,japan,5.807,18,RACE,1
shanghai,2024,5,Shanghai,china,5.451,16,RACE,2
miami,2024,6,Miami,united-states-of-america,5.412,19,STREET,3
imola,2024,7,Enzo e Dino Ferrari,italy,4.909,19,RACE,1
monaco,2024,8,Monaco,monaco,3.337,19,STREET,1
montreal,2024,9,Gilles Villeneuve,canada,4.361,13,STREET,3
catalunya,2024,10,Catalunya,spain,4.657,14,RACE,2
spielberg,2024,11,Red Bull Ring,austria,4.326,10,RACE,3
silverstone,2024,12,Silverstone,united-kingdom,5.891,18,RACE,2
hungaroring,2024,13,Hungaroring,hungary,4.381,14,RACE,2
spa-francorchamps,2024,14,Spa-Francorchamps,belgium,7.004,19,RACE,2
zandvoort,2024,15,Zandvoort,netherlands,4.259,14,RACE,2
monza,2024,16,Monza,italy,5.793,11,RACE,2
baku,2024,17,Baku,azerbaijan,6.003,20,STREET,2
marina-bay,2024,18,Marina Bay,singapore,4.94,19,STREET,4
austin,2024,19,Americas,united-states-of-america,5.513,20,RACE,2
mexico-city,2024,20,Hermanos Rodríguez,mexico,4.304,17,RACE,3
interlagos,2024,21,José Carlos Pace,brazil,4.309,15,RACE,2
las-vegas,2024,22,Las Vegas,united-states-of-america,6.201,17,STREET,2
lusail,2024,23,Lusail,qatar,5.419,16,RACE,1
yas-marina,2024,24,Yas Marina,united-arab-emirates,5.281,16,RACE,2
melbourne,2025,1,Melbourne,australia,5.278,14,STREET,4
shanghai,2025,2,Shanghai,china,5.451,16,RACE,2
suzuka,2025,3,Suzuka,japan,5.807,18,RACE,1
bahrain,2025,4,Bahrain,bahrain,5.412,15,RACE,3
jeddah,2025,5,Jeddah,saudi-arabia,6.174,27,STREET,3
miami,2025,6,Miami,united-states-of-america,5.412,19,STREET,3
imola,2025,7,Enzo e Dino Ferrari,italy,4.909,19,RACE,1
monaco,2025,8,Monaco,monaco,3.337,19,STREET,1
catalunya,2025,9,Catalunya,spain,4.657,14,RACE,2
montreal,2025,10,Gilles Villeneuve,canada,4.361,13,STREET,3
spielberg,2025,11,Red Bull Ring,austria,4.326,10,RACE,3
silverstone,2025,12,Silverstone,united-kingdom,5.891,18,RACE,2
spa-francorchamps,2025,13,Spa-Francorchamps,belgium,7.004,19,RACE,2
hungaroring,2025,14,Hungaroring,hungary,4.381,14,RACE,2
zandvoort,2025,15,Zandvoort,netherlands,4.259,14,RACE,2
monza,2025,16,Monza,italy,5.793,11,RACE,2
baku,2025,17,Baku,azerbaijan,6.003,20,STREET,2
marina-bay,2025,18,Marina Bay,singapore,4.94,19,STREET,4
austin,2025,19,Americas,united-states-of-america,5.513,20,RACE,2
mexico-city,2025,20,Hermanos Rodríguez,mexico,4.304,17,RACE,3
