year,grand_prix,grand_prix_mapped,driver_number,lap_number
2023,Catalunya,Spanish_Grand_Prix,4,1.0
2023,Catalunya,Spanish_Grand_Prix,77,5.0
2023,Catalunya,Spanish_Grand_Prix,27,8.0
2023,Catalunya,Spanish_Grand_Prix,24,9.0
2023,Catalunya,Spanish_Grand_Prix,21,9.0
2023,Catalunya,Spanish_Grand_Prix,22,10.0
2023,Catalunya,Spanish_Grand_Prix,20,10.0
2023,Catalunya,Spanish_Grand_Prix,31,13.0
2023,Catalunya,Spanish_Grand_Prix,18,14.0
2023,Catalunya,Spanish_Grand_Prix,55,15.0
2023,Catalunya,Spanish_Grand_Prix,16,16.0
2023,Catalunya,Spanish_Grand_Prix,23,16.0
2023,Catalunya,Spanish_Grand_Prix,81,17.0
2023,Catalunya,Spanish_Grand_Prix,2,17.0
2023,Catalunya,Spanish_Grand_Prix,14,19.0
2023,Catalunya,Spanish_Grand_Prix,10,19.0
2023,Catalunya,Spanish_Grand_Prix,4,22.0
2023,Catalunya,Spanish_Grand_Prix,44,24.0
2023,Catalunya,Spanish_Grand_Prix,20,24.0
2023,Catalunya,Spanish_Grand_Prix,63,25.0
2023,Catalunya,Spanish_Grand_Prix,1,26.0
2023,Catalunya,Spanish_Grand_Prix,27,26.0
2023,Catalunya,Spanish_Grand_Prix,11,27.0
2023,Catalunya,Spanish_Grand_Prix,18,34.0
2023,Catalunya,Spanish_Grand_Prix,22,34.0
2023,Catalunya,Spanish_Grand_Prix,31,35.0
2023,Catalunya,Spanish_Grand_Prix,24,36.0
2023,Catalunya,Spanish_Grand_Prix,2,36.0
2023,Catalunya,Spanish_Grand_Prix,23,37.0
2023,Catalunya,Spanish_Grand_Prix,21,38.0
2023,Catalunya,Spanish_Grand_Prix,81,39.0
2023,Catalunya,Spanish_Grand_Prix,10,39.0
2023,Catalunya,Spanish_Grand_Prix,77,39.0
2023,Catalunya,Spanish_Grand_Prix,55,41.0
2023,Catalunya,Spanish_Grand_Prix,16,41.0
2023,Catalunya,Spanish_Grand_Prix,20,42.0
2023,Catalunya,Spanish_Grand_Prix,27,43.0
2023,Catalunya,Spanish_Grand_Prix,14,44.0
2023,Catalunya,Spanish_Grand_Prix,63,45.0
2023,Catalunya,Spanish_Grand_Prix,44,50.0
2023,Catalunya,Spanish_Grand_Prix,11,50.0
2023,Catalunya,Spanish_Grand_Prix,4,50.0
2023,Catalunya,Spanish_Grand_Prix,1,52.0
2023,Montreal,Canadian_Grand_Prix,22,1.0
2023,Montreal,Canadian_Grand_Prix,10,10.0
2023,Montreal,Canadian_Grand_Prix,27,11.0
2023,Montreal,Canadian_Grand_Prix,18,11.0
2023,Montreal,Canadian_Grand_Prix,21,11.0
2023,Montreal,Canadian_Grand_Prix,1,12.0
2023,Montreal,Canadian_Grand_Prix,44,12.0
2023,Montreal,Canadian_Grand_Prix,14,12.0
2023,Montreal,Canadian_Grand_Prix,31,12.0
2023,Montreal,Canadian_Grand_Prix,81,12.0
2023,Montreal,Canadian_Grand_Prix,4,12.0
2023,Montreal,Canadian_Grand_Prix,23,12.0
2023,Montreal,Canadian_Grand_Prix,24,12.0
2023,Montreal,Canadian_Grand_Prix,63,12.0
2023,Montreal,Canadian_Grand_Prix,18,27.0
2023,Montreal,Canadian_Grand_Prix,27,31.0
2023,Montreal,Canadian_Grand_Prix,24,32.0
2023,Montreal,Canadian_Grand_Prix,10,33.0
2023,Montreal,Canadian_Grand_Prix,22,34.0
2023,Montreal,Canadian_Grand_Prix,4,35.0
2023,Montreal,Canadian_Grand_Prix,20,35.0
2023,Montreal,Canadian_Grand_Prix,31,36.0
2023,Montreal,Canadian_Grand_Prix,77,36.0
2023,Montreal,Canadian_Grand_Prix,11,37.0
2023,Montreal,Canadian_Grand_Prix,81,37.0
2023,Montreal,Canadian_Grand_Prix,55,38.0
2023,Montreal,Canadian_Grand_Prix,16,39.0
2023,Montreal,Canadian_Grand_Prix,44,40.0
2023,Montreal,Canadian_Grand_Prix,14,41.0
2023,Montreal,Canadian_Grand_Prix,1,42.0
2023,Montreal,Canadian_Grand_Prix,21,50.0
2023,Montreal,Canadian_Grand_Prix,20,53.0
2023,Montreal,Canadian_Grand_Prix,11,68.0
2023,Spielberg,Austrian_Grand_Prix,20,1.0
2023,Spielberg,Austrian_Grand_Prix,22,1.0
2023,Spielberg,Austrian_Grand_Prix,1,2.0
2023,Spielberg,Austrian_Grand_Prix,16,2.0
2023,Spielberg,Austrian_Grand_Prix,55,2.0
2023,Spielberg,Austrian_Grand_Prix,44,2.0
2023,Spielberg,Austrian_Grand_Prix,4,2.0
2023,Spielberg,Austrian_Grand_Prix,14,2.0
2023,Spielberg,Austrian_Grand_Prix,27,2.0
2023,Spielberg,Austrian_Grand_Prix,18,2.0
2023,Spielberg,Austrian_Grand_Prix,10,2.0
2023,Spielberg,Austrian_Grand_Prix,23,2.0
2023,Spielberg,Austrian_Grand_Prix,63,2.0
2023,Spielberg,Austrian_Grand_Prix,31,2.0
2023,Spielberg,Austrian_Grand_Prix,11,2.0
2023,Spielberg,Austrian_Grand_Prix,24,2.0
2023,Spielberg,Austrian_Grand_Prix,81,2.0
2023,Spielberg,Austrian_Grand_Prix,2,2.0
2023,Spielberg,Austrian_Grand_Prix,77,2.0
2023,Spielberg,Austrian_Grand_Prix,21,2.0
2023,Spielberg,Austrian_Grand_Prix,22,2.0
2023,Spielberg,Austrian_Grand_Prix,20,2.0
2023,Spielberg,Austrian_Grand_Prix,24,8.0
2023,Spielberg,Austrian_Grand_Prix,27,11.0
2023,Spielberg,Austrian_Grand_Prix,21,12.0
2023,Spielberg,Austrian_Grand_Prix,44,14.0
2023,Spielberg,Austrian_Grand_Prix,4,14.0
2023,Spielberg,Austrian_Grand_Prix,10,14.0
2023,Spielberg,Austrian_Grand_Prix,23,14.0
2023,Spielberg,Austrian_Grand_Prix,63,14.0
2023,Spielberg,Austrian_Grand_Prix,31,14.0
2023,Spielberg,Austrian_Grand_Prix,81,14.0
2023,Spielberg,Austrian_Grand_Prix,2,14.0
2023,Spielberg,Austrian_Grand_Prix,16,15.0
2023,Spielberg,Austrian_Grand_Prix,55,15.0
2023,Spielberg,Austrian_Grand_Prix,14,15.0
2023,Spielberg,Austrian_Grand_Prix,18,15.0
2023,Spielberg,Austrian_Grand_Prix,77,21.0
2023,Spielberg,Austrian_Grand_Prix,81,22.0
2023,Spielberg,Austrian_Grand_Prix,22,23.0
2023,Spielberg,Austrian_Grand_Prix,1,24.0
2023,Spielberg,Austrian_Grand_Prix,11,25.0
