year,round,grand_prix_mapped,driver_number,stint_number,compound,lap_start,lap_end,tyre_age_at_start
2023,1,Bahrain_Grand_Prix,1,1,SOFT,1.0,14.0,3
2023,1,Bahrain_Grand_Prix,1,2,SOFT,15.0,36.0,2
2023,1,Bahrain_Grand_Prix,1,3,HARD,37.0,57.0,0
2023,1,Bahrain_Grand_Prix,2,1,SOFT,1.0,12.0,0
2023,1,Bahrain_Grand_Prix,2,2,SOFT,13.0,30.0,0
2023,1,Bahrain_Grand_Prix,2,3,HARD,31.0,40.0,0
2023,1,Bahrain_Grand_Prix,2,4,SOFT,41.0,56.0,0
2023,1,Bahrain_Grand_Prix,4,1,SOFT,1.0,10.0,0
2023,1,Bahrain_Grand_Prix,4,2,HARD,11.0,17.0,0
2023,1,Bahrain_Grand_Prix,4,3,SOFT,18.0,27.0,3
2023,1,Bahrain_Grand_Prix,4,4,MEDIUM,28.0,37.0,0
2023,1,Bahrain_Grand_Prix,4,5,HARD,38.0,47.0,0
2023,1,Bahrain_Grand_Prix,4,6,SOFT,48.0,54.0,4
2023,1,Bahrain_Grand_Prix,4,7,SOFT,55.0,55.0,6
2023,1,Bahrain_Grand_Prix,10,1,SOFT,1.0,9.0,0
2023,1,Bahrain_Grand_Prix,10,2,HARD,10.0,25.0,0
2023,1,Bahrain_Grand_Prix,10,3,HARD,26.0,40.0,0
2023,1,Bahrain_Grand_Prix,10,4,SOFT,41.0,57.0,0
2023,1,Bahrain_Grand_Prix,11,1,SOFT,1.0,17.0,3
2023,1,Bahrain_Grand_Prix,11,2,SOFT,18.0,34.0,2
2023,1,Bahrain_Grand_Prix,11,3,HARD,35.0,57.0,0
2023,1,Bahrain_Grand_Prix,14,1,SOFT,1.0,14.0,3
2023,1,Bahrain_Grand_Prix,14,2,HARD,15.0,34.0,0
2023,1,Bahrain_Grand_Prix,14,3,HARD,35.0,57.0,0
2023,1,Bahrain_Grand_Prix,16,1,SOFT,1.0,13.0,0
2023,1,Bahrain_Grand_Prix,16,2,HARD,14.0,33.0,0
2023,1,Bahrain_Grand_Prix,16,3,HARD,34.0,39.0,0
2023,1,Bahrain_Grand_Prix,18,1,SOFT,1.0,15.0,3
2023,1,Bahrain_Grand_Prix,18,2,HARD,16.0,30.0,0
2023,1,Bahrain_Grand_Prix,18,3,HARD,31.0,57.0,0
2023,1,Bahrain_Grand_Prix,20,1,HARD,1.0,15.0,0
2023,1,Bahrain_Grand_Prix,20,2,HARD,16.0,29.0,0
2023,1,Bahrain_Grand_Prix,20,3,SOFT,30.0,40.0,0
2023,1,Bahrain_Grand_Prix,20,4,SOFT,41.0,56.0,0
2023,1,Bahrain_Grand_Prix,21,1,SOFT,1.0,11.0,0
2023,1,Bahrain_Grand_Prix,21,2,HARD,12.0,27.0,0
2023,1,Bahrain_Grand_Prix,21,3,HARD,28.0,56.0,0
2023,1,Bahrain_Grand_Prix,22,1,SOFT,1.0,10.0,0
2023,1,Bahrain_Grand_Prix,22,2,HARD,11.0,26.0,0
2023,1,Bahrain_Grand_Prix,22,3,HARD,27.0,40.0,0
2023,1,Bahrain_Grand_Prix,22,4,SOFT,41.0,57.0,3
2023,1,Bahrain_Grand_Prix,23,1,SOFT,1.0,11.0,0
2023,1,Bahrain_Grand_Prix,23,2,SOFT,12.0,26.0,0
2023,1,Bahrain_Grand_Prix,23,3,HARD,27.0,40.0,0
2023,1,Bahrain_Grand_Prix,23,4,SOFT,41.0,57.0,0
2023,1,Bahrain_Grand_Prix,24,1,SOFT,1.0,12.0,0
2023,1,Bahrain_Grand_Prix,24,2,HARD,13.0,32.0,0
2023,1,Bahrain_Grand_Prix,24,3,SOFT,33.0,54.0,3
2023,1,Bahrain_Grand_Prix,24,4,SOFT,55.0,56.0,3
2023,1,Bahrain_Grand_Prix,27,1,SOFT,1.0,11.0,3
2023,1,Bahrain_Grand_Prix,27,2,HARD,12.0,26.0,0
2023,1,Bahrain_Grand_Prix,27,3,HARD,27.0,40.0,0
2023,1,Bahrain_Grand_Prix,27,4,SOFT,41.0,56.0,3
2023,1,Bahrain_Grand_Prix,31,1,SOFT,1.0,12.0,3
2023,1,Bahrain_Grand_Prix,31,2,HARD,13.0,15.0,0
2023,1,Bahrain_Grand_Prix,31,3,HARD,16.0,32.0,0
2023,1,Bahrain_Grand_Prix,31,4,HARD,33.0,41.0,0
2023,1,Bahrain_Grand_Prix,44,1,SOFT,1.0,12.0,3
2023,1,Bahrain_Grand_Prix,44,2,HARD,13.0,30.0,0
2023,1,Bahrain_Grand_Prix,44,3,HARD,31.0,57.0,0
2023,1,Bahrain_Grand_Prix,55,1,SOFT,1.0,13.0,3
2023,1,Bahrain_Grand_Prix,55,2,HARD,14.0,31.0,0
2023,1,Bahrain_Grand_Prix,55,3,HARD,32.0,57.0,0
2023,1,Bahrain_Grand_Prix,63,1,SOFT,1.0,13.0,3
2023,1,Bahrain_Grand_Prix,63,2,HARD,14.0,31.0,0
2023,1,Bahrain_Grand_Prix,63,3,HARD,32.0,57.0,0
2023,1,Bahrain_Grand_Prix,77,1,SOFT,1.0,11.0,0
2023,1,Bahrain_Grand_Prix,77,2,HARD,12.0,29.0,0
2023,1,Bahrain_Grand_Prix,77,3,HARD,30.0,57.0,0
2023,1,Bahrain_Grand_Prix,81,1,SOFT,1.0,13.0,0
2023,2,Saudi_Arabian_Grand_Prix,1,1,MEDIUM,1.0,18.0,0
