circuitRef,year,round,name,type,num_drs_zones,length_km,num_turns,slow_corners,medium_corners,fast_corners,flat_corners,slow_cluster_max,straight_distance_m,straight_ratio,straight_len_max_m,n_major_straights,heavy_braking_zones,heavy_braking_mean_dv_kmh,hb_spacing_std_m,hb_at_end_of_max,corner_density_tpkm,avg_corner_angle,total_corner_angle,avg_corner_distance
bahrain,2023,1,Bahrain,RACE,3,5.412,15,5,5,5,0,2,2769.4,0.515,993.5,1,10,172.1,360.9,True,2.77,-216.5,-3247.3,358.7
jeddah,2023,2,Jeddah,STREET,3,6.174,27,9,9,7,2,6,1838.1,0.301,675.5,0,9,154.7,510.0,False,4.37,-58.7,-1585.9,226.1
melbourne,2023,3,Melbourne,STREET,4,5.278,14,5,4,5,0,2,1785.9,0.342,658.3,0,4,154.9,990.3,True,2.65,-0.4,-5.4,372.8
baku,2023,4,Baku,STREET,2,6.003,20,7,6,7,0,3,3357.4,0.565,1091.0,2,10,171.3,618.4,False,3.33,-23.6,-472.0,297.1
miami,2023,5,Miami,STREET,3,5.412,19,6,7,5,1,4,2409.0,0.451,2049.6,1,5,202.6,978.4,True,3.51,-73.8,-1401.3,280.9
monaco,2023,6,Monaco,STREET,1,3.337,19,6,7,6,0,3,558.4,0.17,116.1,0,10,149.6,306.4,False,5.69,13.8,262.2,172.4
catalunya,2023,7,Catalunya,RACE,2,4.657,11,4,3,4,0,2,3430.5,0.595,1123.3,2,6,190.9,690.8,True,2.36,51.4,565.0,523.7
montreal,2023,8,Gilles Villeneuve,STREET,3,4.361,14,5,4,5,0,3,2193.0,0.508,613.8,0,12,176.7,349.0,True,3.21,-16.0,-224.1,308.6
spielberg,2023,9,Red Bull Ring,RACE,3,4.326,10,3,4,2,1,2,2249.6,0.524,566.2,0,3,204.0,803.6,False,2.31,21.2,212.3,429.4
silverstone,2023,10,Silverstone,RACE,2,5.891,18,6,6,6,0,2,1952.8,0.337,880.9,1,4,164.3,1260.8,False,3.06,-5.0,-89.8,322.4
hungaroring,2023,11,Hungaroring,RACE,2,4.381,16,5,6,5,0,2,1443.2,0.333,642.2,0,8,145.9,505.6,False,3.65,12.8,205.5,270.8
spa-francorchamps,2023,12,Spa-Francorchamps,RACE,2,7.004,19,6,7,6,0,3,2921.6,0.421,664.0,0,7,166.3,841.0,True,2.71,16.1,305.7,365.3
zandvoort,2023,13,Zandvoort,RACE,2,4.259,14,5,4,5,0,2,977.3,0.23,499.8,0,4,156.5,664.2,False,3.29,0.8,11.7,303.5
monza,2023,14,Monza,RACE,2,5.793,11,4,3,4,0,2,3430.5,0.595,1123.3,2,6,190.9,690.8,True,1.9,51.4,565.0,523.7
marina-bay,2023,15,Marina Bay,STREET,4,4.94,19,6,7,6,0,2,2065.8,0.423,1307.2,1,9,161.8,387.9,False,3.85,-5.7,-107.7,257.3
suzuka,2023,16,Suzuka,RACE,1,5.807,18,6,6,6,0,3,2029.4,0.351,1232.8,1,7,167.0,869.9,False,3.1,-176.6,-3178.4,320.9
lusail,2023,17,Lusail,RACE,1,5.419,16,5,6,5,0,2,2187.3,0.407,935.1,1,3,148.5,677.1,False,2.95,-7.0,-112.1,335.9
austin,2023,18,Americas,RACE,2,5.513,20,7,6,7,0,5,1929.5,0.354,1004.1,1,5,175.9,470.0,False,3.63,-58.2,-1163.3,272.5
mexico-city,2023,19,Hermanos Rodríguez,RACE,3,4.304,17,6,5,6,0,3,2018.3,0.476,2046.3,1,8,152.6,624.5,False,3.95,-58.9,-1002.1,249.3
interlagos,2023,20,José Carlos Pace,RACE,2,4.309,14,5,4,5,0,2,977.3,0.23,499.8,0,4,156.5,664.2,False,3.25,0.8,11.7,303.5
las-vegas,2023,21,Las Vegas,STREET,2,6.201,17,6,5,6,0,3,3639.5,0.594,959.8,2,9,191.4,687.1,False,2.74,9.4,159.3,360.7
yas-marina,2023,22,Yas Marina,RACE,2,5.281,19,6,7,6,0,2,2065.8,0.423,1307.2,1,9,161.8,387.9,False,3.6,-5.7,-107.7,257.3
bahrain,2024,1,Bahrain,RACE,3,5.412,15,5,5,5,0,1,2702.8,0.504,989.7,1,10,163.6,352.9,False,2.77,-216.5,-3247.3,357.6
jeddah,2024,2,Jeddah,STREET,3,6.174,27,9,9,9,0,3,1762.7,0.289,941.1,1,11,150.9,513.5,True,4.37,-58.7,-1585.9,226.0
