circuitRef,year,round,name,type,num_drs_zones,length_km,num_turns,slow_corners,medium_corners,fast_corners,flat_corners,slow_cluster_max,straight_distance_m,straight_ratio,straight_len_max_m,n_major_straights,heavy_braking_zones,heavy_braking_mean_dv_kmh,hb_spacing_std_m,hb_at_end_of_max,corner_density_tpkm,avg_corner_angle,total_corner_angle,avg_corner_distance,drs_zones_detected,drs_total_len_m,drs_on_max
melbourne,2025,1,Melbourne,STREET,4,5.278,14,5,4,5,0,2,1866.8,0.356,627.7,0,5,152.1,1018.7,True,2.65,-0.4,-5.4,374.2,3.0,2686.755959637902,False
shanghai,2025,2,Shanghai,RACE,2,5.451,16,5,6,5,0,2,2515.3,0.467,1117.3,1,6,204.8,648.9,True,2.94,-6.8,-108.7,336.8,3.0,1760.362487612148,True
suzuka,2025,3,Suzuka,RACE,1,5.807,18,6,6,6,0,3,1985.5,0.344,1239.3,1,6,168.1,881.7,False,3.1,-176.6,-3178.4,320.4,2.0,1175.563480544859,False
bahrain,2025,4,Bahrain,RACE,3,5.412,15,5,5,5,0,1,2738.8,0.51,984.3,1,10,165.2,353.2,False,2.77,-216.5,-3247.3,358.1,4.0,2025.0107073619972,True
jeddah,2025,5,Jeddah,STREET,3,6.174,27,9,9,7,2,5,1998.9,0.329,855.9,1,6,179.9,745.6,True,4.37,-58.7,-1585.9,225.0,4.0,2101.7834134725335,False
miami,2025,6,Miami,STREET,3,5.412,19,6,7,5,1,4,2521.1,0.473,1156.9,1,4,196.0,933.5,True,3.51,-73.8,-1401.3,280.3,4.0,2621.9067392135753,True
imola,2025,7,Enzo e Dino Ferrari,RACE,1,4.909,19,6,7,6,0,4,2345.1,0.48,340.5,0,9,148.5,498.3,True,3.87,-32.8,-622.7,257.1,2.0,1385.4973709432347,True
monaco,2025,8,Monaco,STREET,1,3.337,19,6,7,6,0,2,551.5,0.168,131.2,0,10,149.8,330.9,False,5.69,13.8,262.2,172.9,3.0,1238.1407699865222,False
catalunya,2025,9,Catalunya,RACE,2,4.657,14,5,4,5,0,2,1866.8,0.356,627.7,0,5,152.1,1018.7,True,3.01,-0.4,-5.4,374.2,3.0,1275.899640176693,True
montreal,2025,10,Gilles Villeneuve,STREET,3,4.361,14,5,4,5,0,2,1958.7,0.456,588.3,0,12,171.4,351.5,True,3.21,-16.0,-224.1,306.8,2.0,842.9422504304913,False
spielberg,2025,11,Red Bull Ring,RACE,3,4.326,10,3,4,3,0,2,2355.4,0.548,571.5,0,3,212.3,799.9,True,2.31,21.2,212.3,429.6,4.0,1944.5506228693096,True
silverstone,2025,12,Silverstone,RACE,2,5.891,18,6,6,6,0,3,2003.4,0.344,1839.7,1,4,171.5,1277.8,False,3.06,-5.0,-89.8,323.2,3.0,1647.4434078163122,True
spa-francorchamps,2025,13,Spa-Francorchamps,RACE,2,7.004,19,6,7,6,0,3,2740.2,0.395,654.2,0,6,191.8,786.4,True,2.71,16.1,305.7,365.2,3.0,1639.4830093599958,False
hungaroring,2025,14,Hungaroring,RACE,2,4.381,16,5,6,5,0,2,1328.5,0.305,661.8,0,8,141.6,505.6,False,3.65,12.8,205.5,272.2,2.0,1189.0640433951096,True
zandvoort,2025,15,Zandvoort,RACE,2,4.259,14,5,4,5,0,4,982.2,0.232,539.4,0,4,165.9,687.0,False,3.29,0.8,11.7,302.6,3.0,1287.0225049314872,True
monza,2025,16,Monza,RACE,2,5.793,11,4,3,4,0,2,3392.0,0.591,1151.6,2,6,196.7,686.3,False,1.9,51.4,565.0,521.7,3.0,1534.174965965905,True
baku,2025,17,Baku,STREET,2,6.003,20,8,5,7,0,4,3169.1,0.534,1080.1,2,10,169.3,616.2,False,3.33,-23.6,-472.0,296.8,3.0,1470.7732579795538,True
marina-bay,2025,18,Marina Bay,STREET,4,4.94,19,6,7,6,0,2,1997.0,0.408,746.8,1,9,157.7,387.9,True,3.85,-5.7,-107.7,257.4,4.0,2404.7214953232715,True
austin,2025,19,Americas,RACE,2,5.513,20,7,6,7,0,5,2130.3,0.391,1048.4,1,5,179.4,464.6,True,3.63,-58.2,-1163.3,272.5,3.0,1544.9140041944393,True
mexico-city,2025,20,Hermanos Rodríguez,RACE,3,4.304,17,6,5,6,0,3,2039.5,0.481,2045.1,1,7,166.1,648.0,False,3.95,-58.9,-1002.1,249.6,2.0,577.9902509118438,False
interlagos,2025,21,José Carlos Pace,RACE,2,4.309,14,5,4,5,0,4,982.2,0.232,539.4,0,4,165.9,687.0,False,3.25,0.8,11.7,302.6,3.0,1433.7866375610436,True
las-vegas,2025,22,Las Vegas,STREET,2,6.201,17,6,5,6,0,3,3629.5,0.591,1304.3,2,9,190.0,671.2,True,2.74,9.4,159.3,361.2,3.0,1571.2142415965254,True
lusail,2025,23,Lusail,RACE,1,5.419,16,5,6,5,0,2,2235.3,0.415,931.8,1,3,142.0,725.4,False,2.95,-7.0,-112.1,337.0,3.0,1101.1756296972321,True
yas-marina,2025,24,Yas Marina,RACE,2,5.281,19,6,7,6,0,2,1997.0,0.408,746.8,1,9,157.7,387.9,True,3.6,-5.7,-107.7,257.4,,,False
