Race,MAE
2023_12_Spa-Francorchamps,0.5373281399267346
2025_7_Enzo e Dino Ferrari,0.4318119667179176
2024_14_Spa-Francorchamps,0.38375687226213484
2024_1_Bahrain,0.3769000160461847
2025_4_Bahrain,0.35264810580583544
2024_15_Zandvoort,0.3320524126302064
2025_13_Spa-Francorchamps,0.31796948474661196
2025_11_Red Bull Ring,0.3164477556495281
2025_15_Zandvoort,0.299981457623415
2023_1_Bahrain,0.288284292723684
2023_9_Red Bull Ring,0.2710252910400422
2024_11_Red Bull Ring,0.253765674891782
2024_7_Enzo e Dino Ferrari,0.22837886146497333
