Feature,Importance
Pressure,1.4927237974699787
wind_cos,0.13227316427939861
Humidity,0.12479493667792951
pushing,0.10983629449876586
in_clean_air,0.06304076106554257
LapInStint,0.05120051309180118
LapInStint_squared,0.03243034582098403
is_leader,0.010067112580170345
in_dirty_air,0.009531330362483104
laptime_cumulative_trend,0.007445816643622205
laptime_change_prev,0.0046220072882898755
laptime_rolling_std_3,-0.011625965065100274
in_drs_range,-0.14075190417890404
Compound_HARD,-0.17058461848278084
Compound_MEDIUM,-0.23121120252314586
