Race,MAE
2023_12_Spa-Francorchamps,0.6817070954398613
2025_7_Enzo e Dino Ferrari,0.5457174206099098
2025_4_Bahrain,0.5102568974126772
2024_11_Red Bull Ring,0.47084603054207375
2024_1_Bahrain,0.46326479270853177
2024_7_Enzo e Dino Ferrari,0.44752370436777295
2025_15_Zandvoort,0.44550827059946485
2025_13_Spa-Francorchamps,0.4420339824133082
2023_1_Bahrain,0.43309549264396857
2024_14_Spa-Francorchamps,0.42246667299861573
2025_11_Red Bull Ring,0.42092337827505283
2023_9_Red Bull Ring,0.40788980253122015
2024_15_Zandvoort,0.33308779814531553
