Race,MAE
2023_12_Spa-Francorchamps,0.7565099742590671
2024_1_Bahrain,0.7430842478718191
2025_15_Zandvoort,0.582633154223441
2025_7_Enzo e Dino Ferrari,0.5033982771217466
2025_4_Bahrain,0.4533378508238682
2024_15_Zandvoort,0.4376015779143696
2024_14_Spa-Francorchamps,0.4103595885739271
2024_7_Enzo e Dino Ferrari,0.3865218491548312
2025_11_Red Bull Ring,0.364747489464323
2025_13_Spa-Francorchamps,0.3534316763414625
2023_1_Bahrain,0.35245322376178434
2023_9_Red Bull Ring,0.3260064855804951
2024_11_Red Bull Ring,0.3259161301202574
