Race,MAE
2023_12_Spa-Francorchamps,0.5349186958995562
2025_7_Enzo e Dino Ferrari,0.3987871343055006
2024_14_Spa-Francorchamps,0.3783052149593253
2025_4_Bahrain,0.3596858829616033
2024_1_Bahrain,0.34948238527379183
2024_15_Zandvoort,0.31150080865434293
2025_11_Red Bull Ring,0.30104924282600665
2025_15_Zandvoort,0.2926008011375258
2023_1_Bahrain,0.28860262380917967
2025_13_Spa-Francorchamps,0.2787637430462934
2023_9_Red Bull Ring,0.2774858997359306
2024_11_Red Bull Ring,0.23512181345253147
2024_7_Enzo e Dino Ferrari,0.22342235772621907
