Race,MAE
2023_12_Spa-Francorchamps,0.5328679650767406
2025_7_Enzo e Dino Ferrari,0.3972797363959412
2024_14_Spa-Francorchamps,0.37900755914913337
2024_1_Bahrain,0.3636875186579536
2025_4_Bahrain,0.3598535067561148
2024_15_Zandvoort,0.3146387772771559
2025_11_Red Bull Ring,0.301198399379535
2025_15_Zandvoort,0.2978948441459116
2023_1_Bahrain,0.29200266331713765
2025_13_Spa-Francorchamps,0.28355765419442897
2023_9_Red Bull Ring,0.2796137632779174
2024_11_Red Bull Ring,0.225765617190395
2024_7_Enzo e Dino Ferrari,0.22061686089369142
