season_year,grand_prix,driver_number,lap_number
2023,Catalunya,4,1.0
2023,Catalunya,77,5.0
2023,Catalunya,27,8.0
2023,Catalunya,24,9.0
2023,Catalunya,21,9.0
2023,Catalunya,22,10.0
2023,Catalunya,20,10.0
2023,Catalunya,31,13.0
2023,Catalunya,18,14.0
2023,Catalunya,55,15.0
2023,Catalunya,16,16.0
2023,Catalunya,23,16.0
2023,Catalunya,81,17.0
2023,Catalunya,2,17.0
2023,Catalunya,14,19.0
2023,Catalunya,10,19.0
2023,Catalunya,4,22.0
2023,Catalunya,44,24.0
2023,Catalunya,20,24.0
2023,Catalunya,63,25.0
2023,Catalunya,1,26.0
2023,Catalunya,27,26.0
2023,Catalunya,11,27.0
2023,Catalunya,18,34.0
2023,Catalunya,22,34.0
2023,Catalunya,31,35.0
2023,Catalunya,24,36.0
2023,Catalunya,2,36.0
2023,Catalunya,23,37.0
2023,Catalunya,21,38.0
2023,Catalunya,81,39.0
2023,Catalunya,10,39.0
2023,Catalunya,77,39.0
2023,Catalunya,55,41.0
2023,Catalunya,16,41.0
2023,Catalunya,20,42.0
2023,Catalunya,27,43.0
2023,Catalunya,14,44.0
2023,Catalunya,63,45.0
2023,Catalunya,44,50.0
2023,Catalunya,11,50.0
2023,Catalunya,4,50.0
2023,Catalunya,1,52.0
2023,Montreal,22,1.0
2023,Montreal,10,10.0
2023,Montreal,27,11.0
2023,Montreal,18,11.0
2023,Montreal,21,11.0
2023,Montreal,1,12.0
2023,Montreal,44,12.0
2023,Montreal,14,12.0
2023,Montreal,31,12.0
2023,Montreal,81,12.0
2023,Montreal,4,12.0
2023,Montreal,23,12.0
2023,Montreal,24,12.0
2023,Montreal,63,12.0
2023,Montreal,18,27.0
2023,Montreal,27,31.0
2023,Montreal,24,32.0
2023,Montreal,10,33.0
2023,Montreal,22,34.0
2023,Montreal,4,35.0
2023,Montreal,20,35.0
2023,Montreal,31,36.0
2023,Montreal,77,36.0
2023,Montreal,11,37.0
2023,Montreal,81,37.0
2023,Montreal,55,38.0
2023,Montreal,16,39.0
2023,Montreal,44,40.0
2023,Montreal,14,41.0
2023,Montreal,1,42.0
2023,Montreal,21,50.0
2023,Montreal,20,53.0
2023,Montreal,11,68.0
2023,Spielberg,20,1.0
2023,Spielberg,22,1.0
2023,Spielberg,1,2.0
2023,Spielberg,16,2.0
2023,Spielberg,55,2.0
2023,Spielberg,44,2.0
2023,Spielberg,4,2.0
2023,Spielberg,14,2.0
2023,Spielberg,27,2.0
2023,Spielberg,18,2.0
2023,Spielberg,10,2.0
2023,Spielberg,23,2.0
2023,Spielberg,63,2.0
2023,Spielberg,31,2.0
2023,Spielberg,11,2.0
2023,Spielberg,24,2.0
2023,Spielberg,81,2.0
2023,Spielberg,2,2.0
2023,Spielberg,77,2.0
