feature,importance_mean,importance_std
cumulative_degradation,0.13145275916587446,0.0036044981367145843
laptime_rolling_std_3,0.008813512708640081,0.0008546296324862184
pushing,0.005710839488029673,0.0007523425550796487
TyreLife,0.004862966605569191,0.0008488868491965245
delta_laptime,0.002564082322275929,0.0007189481958608208
heavy_braking_mean_dv_kmh,0.0023923226444887537,0.00047850540513593717
AirTemp,0.0018050206556365245,0.000499626857383984
Pressure,0.00047656173637372623,0.0002294146743922675
slow_cluster_max,0.00032923876919765396,4.95199642224535e-05
heavy_braking_zones,0.0002798903636689554,6.0087692994076304e-05
num_turns,0.0001216023236063568,0.00010432532642210761
in_clean_air,0.00011137510002517392,3.2096941058422776e-05
Team,0.00010530387247278394,8.874936450487393e-05
n_major_straights,3.571569437704203e-05,1.4933854857531443e-05
in_dirty_air,2.3257173976060085e-05,2.9622523737429726e-05
RacingNumber,1.5663416703975974e-05,4.013821294154762e-05
is_leader,5.585001852015381e-06,2.956886472841724e-06
