feature,importance_mean,importance_std
cumulative_degradation,0.1281875948598991,0.0038448464120627458
pushing,0.0038439581071450903,0.0006078483912858987
AirTemp,0.0038011634136170536,0.00046937524403539303
TrackTemp,0.0037037906017190537,0.0003224191923600011
delta_laptime,0.002997943307338169,0.0010740203028187507
Pressure,0.0024303262549720817,0.0002458995558385945
LapTime,0.0023791572774801927,0.001048835392314709
laptime_rolling_std_3,0.0022554060172747916,0.0004267482006934403
straight_len_max_m,0.0013926845399020616,0.0004308507919211596
TyreLife,0.000995835851330945,0.000332065661577569
avg_corner_angle,0.0006726960892502187,0.00012309199036131133
heavy_braking_mean_dv_kmh,0.00041498169009782646,0.0002944637440096803
num_turns,0.0002648695851749927,7.982195563849128e-05
slow_cluster_max,0.000242802500897793,4.9472543111503846e-05
in_dirty_air,7.194675190315692e-05,3.125626642591043e-05
RacingNumber,3.290089365090565e-05,4.6530183978126174e-05
in_clean_air,2.0886474976156143e-05,5.14211909105762e-05
heavy_braking_zones,2.035863732500198e-05,8.048395280281475e-05
slow_share,5.4877421885979326e-06,5.11322669517844e-05
is_new_tyre,1.2680227602368532e-06,6.629684273081027e-06
n_major_straights,4.5047260833763757e-07,1.0141616670872895e-05
is_leader,3.0304221850796507e-07,2.451204416324111e-06
Compound,2.7755575615628914e-17,2.7755575615628914e-17
Team,-1.1803027952023148e-05,5.658477053987071e-05
TyreAgeAtStart,-2.195876914359296e-05,2.5446156095840226e-05
Humidity,-5.956028855285123e-05,0.0004160588073944874
num_drs_zones,-7.183376750088954e-05,3.369686062005635e-05
in_drs_range,-0.0001546462258197545,0.0002355957857945083
wind_sin,-0.00023882404273928293,9.3903149055906e-05
straight_ratio,-0.00027411433691536534,0.00016340493585493564
wind_cos,-0.00032090619655731343,0.00018289213762705936
drs_total_len_m,-0.0012119218986452684,0.00016877697834706193
