feature,importance_mean,importance_std
cumulative_degradation,0.1587818671000557,0.0050339287894094874
TyreLife,0.009546794332550906,0.0009556093524789046
laptime_rolling_std_3,0.007529494445189749,0.0011323079748076907
AirTemp,0.0069600816004329715,0.0007531316676468561
TrackTemp,0.004432221982388518,0.001704305616739632
pushing,0.0036288295660148904,0.0006442752194293428
LapTime,0.0030454875798147764,0.002743460031787916
heavy_braking_mean_dv_kmh,0.0021062466621410147,0.0003910057630531096
Pressure,0.0018623015974764678,0.0005366545106413191
slow_cluster_max,0.0008193103961831594,8.041034486390284e-05
avg_corner_angle,0.0003572562795195355,0.00026561749973652414
slow_share,0.0002694008006490889,0.0001100886201912861
num_turns,0.0002679021080499888,0.00010363955099334337
heavy_braking_zones,0.0002062902256295962,0.00015547031459602818
n_major_straights,0.0001678349954160996,2.6801228665627638e-05
TyreAgeAtStart,0.00016717872173063197,9.36687632889607e-05
straight_len_max_m,0.00010922330163051219,0.0003292298516739957
in_clean_air,5.618131642133317e-05,6.0505954087509075e-05
is_new_tyre,2.6038513938902995e-05,1.4870819230369928e-05
is_leader,1.1326911030906662e-05,6.436625241351571e-06
