feature,importance_mean,importance_std
cumulative_degradation,0.1366036155684974,0.002897542484979487
laptime_rolling_std_3,0.005886922705559755,0.00035708779979521673
pushing,0.0042908596857499925,0.00037504122233390747
TyreLife,0.0036603943806498675,0.0004525388148736196
AirTemp,0.003564745713152834,0.00026466587274108684
delta_laptime,0.0024337103832603457,0.0006756781885912864
heavy_braking_mean_dv_kmh,0.0015377854676363822,0.00026940449243735006
Pressure,0.0015043333733264941,0.0001672939892027369
Compound,0.0006048401018175665,6.901106723571142e-05
slow_cluster_max,0.00039211317977883573,2.5841162019946578e-05
avg_corner_angle,0.00035180162024610605,9.904351879620032e-05
heavy_braking_zones,0.00027131792983687284,6.20226032562122e-05
TrackTemp,0.00022417158440928285,0.00045172045541072407
num_turns,0.00019556730379710063,6.381412382414828e-05
in_clean_air,8.23024699124597e-05,2.7205100655821305e-05
in_dirty_air,4.544527253964037e-05,2.403825590309885e-05
n_major_straights,4.461576450167648e-05,8.434060910685664e-06
TyreAgeAtStart,3.439841382483211e-05,2.001264020301832e-05
Team,1.8493842137873305e-05,4.697450501548232e-05
is_leader,4.3801858846004295e-06,1.62568976969615e-06
is_new_tyre,-2.1568943733618617e-06,4.7482748263555276e-06
RacingNumber,-2.6961731139696354e-06,1.6901569316475954e-05
LapTime,-5.66355781349559e-06,0.0007299620148349833
in_drs_range,-8.544304227742216e-06,0.00014460805861728915
slow_share,-8.589809650815239e-05,3.647120995320475e-05
straight_len_max_m,-0.00011351126665362643,0.00016208084035721908
Humidity,-0.00014573168309921501,0.00016357852119369904
wind_sin,-0.0001525507628442946,7.80727762672131e-05
num_drs_zones,-0.00024754093484318786,2.3409019158234405e-05
straight_ratio,-0.0003854438850664943,0.00012726152831950017
wind_cos,-0.0004351227008025704,0.00014601902554533115
drs_total_len_m,-0.0016973044183376973,0.00016466919123597393
