season_year,round,grand_prix,race_session_key,meeting_key,date,driver_number,lap_number,pit_duration,session_key
2023,,Catalunya,9102,1211,2023-06-04 13:05:22.607000+00:00,4,1.0,37.7,9102
2023,,Catalunya,9102,1211,2023-06-04 13:10:42.773000+00:00,77,5.0,23.6,9102
2023,,Catalunya,9102,1211,2023-06-04 13:14:44.785000+00:00,27,8.0,22.2,9102
2023,,Catalunya,9102,1211,2023-06-04 13:16:02.690000+00:00,24,9.0,23.4,9102
2023,,Catalunya,9102,1211,2023-06-04 13:16:07.674000+00:00,21,9.0,22.5,9102
2023,,Catalunya,9102,1211,2023-06-04 13:17:23.938000+00:00,22,10.0,22.1,9102
2023,,Catalunya,9102,1211,2023-06-04 13:17:29.391000+00:00,20,10.0,22.1,9102
2023,,Catalunya,9102,1211,2023-06-04 13:21:24.402000+00:00,31,13.0,22.1,9102
2023,,Catalunya,9102,1211,2023-06-04 13:22:41.917000+00:00,18,14.0,22.3,9102
2023,,Catalunya,9102,1211,2023-06-04 13:23:56.212000+00:00,55,15.0,22.3,9102
2023,,Catalunya,9102,1211,2023-06-04 13:25:39.726000+00:00,16,16.0,21.7,9102
2023,,Catalunya,9102,1211,2023-06-04 13:25:48.070000+00:00,23,16.0,23.3,9102
2023,,Catalunya,9102,1211,2023-06-04 13:26:55.740000+00:00,81,17.0,22.3,9102
2023,,Catalunya,9102,1211,2023-06-04 13:27:13.177000+00:00,2,17.0,22.5,9102
2023,,Catalunya,9102,1211,2023-06-04 13:29:32.284000+00:00,14,19.0,22.5,9102
2023,,Catalunya,9102,1211,2023-06-04 13:29:42.394000+00:00,10,19.0,23.3,9102
2023,,Catalunya,9102,1211,2023-06-04 13:34:13.936000+00:00,4,22.0,22.8,9102
2023,,Catalunya,9102,1211,2023-06-04 13:36:00.934000+00:00,44,24.0,22.5,9102
2023,,Catalunya,9102,1211,2023-06-04 13:36:51.636000+00:00,20,24.0,24.8,9102
2023,,Catalunya,9102,1211,2023-06-04 13:37:30.510000+00:00,63,25.0,22.2,9102
2023,,Catalunya,9102,1211,2023-06-04 13:38:29.056000+00:00,1,26.0,22.2,9102
2023,,Catalunya,9102,1211,2023-06-04 13:39:27.836000+00:00,27,26.0,23.2,9102
2023,,Catalunya,9102,1211,2023-06-04 13:40:19.241000+00:00,11,27.0,21.7,9102
2023,,Catalunya,9102,1211,2023-06-04 13:49:58.247000+00:00,18,34.0,23.3,9102
2023,,Catalunya,9102,1211,2023-06-04 13:50:01.059000+00:00,22,34.0,22.0,9102
2023,,Catalunya,9102,1211,2023-06-04 13:51:21.730000+00:00,31,35.0,24.1,9102
2023,,Catalunya,9102,1211,2023-06-04 13:52:48.775000+00:00,24,36.0,22.8,9102
2023,,Catalunya,9102,1211,2023-06-04 13:53:18.056000+00:00,2,36.0,23.8,9102
2023,,Catalunya,9102,1211,2023-06-04 13:54:36.804000+00:00,23,37.0,23.4,9102
2023,,Catalunya,9102,1211,2023-06-04 13:55:39.834000+00:00,21,38.0,21.9,9102
2023,,Catalunya,9102,1211,2023-06-04 13:56:52.146000+00:00,81,39.0,22.8,9102
2023,,Catalunya,9102,1211,2023-06-04 13:56:54.067000+00:00,10,39.0,23.6,9102
2023,,Catalunya,9102,1211,2023-06-04 13:57:22.504000+00:00,77,39.0,24.0,9102
2023,,Catalunya,9102,1211,2023-06-04 13:59:09.768000+00:00,55,41.0,22.3,9102
2023,,Catalunya,9102,1211,2023-06-04 13:59:36.752000+00:00,16,41.0,23.0,9102
2023,,Catalunya,9102,1211,2023-06-04 14:01:22.406000+00:00,20,42.0,22.2,9102
2023,,Catalunya,9102,1211,2023-06-04 14:02:29.968000+00:00,27,43.0,24.4,9102
2023,,Catalunya,9102,1211,2023-06-04 14:03:24.420000+00:00,14,44.0,22.8,9102
2023,,Catalunya,9102,1211,2023-06-04 14:04:20.497000+00:00,63,45.0,22.0,9102
2023,,Catalunya,9102,1211,2023-06-04 14:10:45.927000+00:00,44,50.0,22.7,9102
2023,,Catalunya,9102,1211,2023-06-04 14:11:04.287000+00:00,11,50.0,21.5,9102
2023,,Catalunya,9102,1211,2023-06-04 14:12:02.129000+00:00,4,50.0,22.0,9102
2023,,Catalunya,9102,1211,2023-06-04 14:13:07.441000+00:00,1,52.0,22.3,9102
2023,,Montreal,9110,1212,2023-06-18 18:04:56.528000+00:00,22,1.0,23.6,9110
2023,,Montreal,9110,1212,2023-06-18 18:17:04.109000+00:00,10,10.0,27.5,9110
2023,,Montreal,9110,1212,2023-06-18 18:18:16.186000+00:00,27,11.0,24.8,9110
